,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
0,8002551,AELB,de:02000:11943,Hamburg Elbbr¸cken,RV,DB Station und Service AG,,neu,1.8856038526558858,Elbbr¸cken Freihafenelbbr¸cke 20457 Hamburg Germany,53.53483815,10.02468211092041,,Elbbr¸cken,Freihafenelbbr¸cke,20457,Hamburg-Mitte,HafenCity,,,,Hamburg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1,8001944,TETN,,Eutingen Nord,RV,DB Station und Service AG,,neu,5.605502032267216,Eutingen Nord K 4715 72184 Gˆttelfingen Germany,48.48477055,8.753022218944075,,Eutingen Nord,K 4715,72184,Horb am Neckar,,Landkreis Freudenstadt,Baden-W¸rttemberg,BW,Gˆttelfingen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,8003074,MIA,,Ingolstadt Audi,RV,DB Station und Service AG,,neu,12.416024252338556,Bahnhof Ingolstadt Audi Weststraﬂe 85057 Ingolstadt Germany,48.7904357,11.408093390100095,,Bahnhof Ingolstadt Audi,Weststraﬂe,85057,Nordwest,Audi AG,Pfaffenhofen an der Ilm,Bavaria,,Ingolstadt,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,8001723,HEBA,,Einbeck Otto-Hahn-Straﬂe,RV,Ilmebahn GmbH,,neu,70.81814022102819,Grimsehlstraﬂe 39 37574 Einbeck Germany,51.814022,9.892191,39,,Grimsehlstraﬂe,37574,Einbeck,,Northeim,Lower Saxony,,Einbeck,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
4,8004371,KRO,,Nˆrvenich-Rommelsheim,nur DPN,Rurtalbahn GmbH,,neu,109.13706146313359,Gertrudisstraﬂe 4 52388 Nˆrvenich Germany,50.783229,6.54869,4,,Gertrudisstraﬂe,52388,Nˆrvenich,,D¸ren,North Rhine-Westphalia,,Nˆrvenich,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
5,8010340,DSTR,,Straﬂgr‰bchen-Bernsdorf,nur DPN,,,neu,61.36172499372667,Dresdener Straﬂe 27 02994 Bernsdorf Germany,51.361887,14.052624,27,,Dresdener Straﬂe,2994,Bernsdorf,,Bautzen,Saxony,,Bernsdorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
6,8001510,TDSA,de:08237:8009:2,Dornstetten-Aach,RV,DB Station und Service AG,,neu,28.511894947678865,Auf dem Berg 1 72280 Dornstetten Germany,48.47359865,8.48266665,1,,Auf dem Berg,72280,Dornstetten,Hallwangen,Landkreis Freudenstadt,Baden-W¸rttemberg,BW,Dornstetten,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
7,8001966,MFOL,de:09187:90183,Feldolling,nur DPN,DB Station und Service AG,,neu,2.5372004979156912,52204 Aiblinger Straﬂe 83620 Feldkirchen-Westerham Germany,47.8953443,11.8522757,,52204,Aiblinger Straﬂe,83620,,,Landkreis Rosenheim,Bavaria,,Feldkirchen-Westerham,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,8002060,FFGG,de:06412:11500,Frankfurt(Main)-Gateway Gardens,RV,DB Station und Service AG,,neu,75.6469629268636,Flughafen Frankfurt Main A602 60549 Frankfurt Germany,50.057048,8.595255,A602,,Flughafen Frankfurt Main,60549,Frankfurt am Main,Frankfurt,Frankfurt,Hesse,,Frankfurt,Germany,de,© OpenAddresses contributors,BSD-3-Clause License,nan
9,8002535,EOBG,de:05962:3517,Halver-Oberbr¸gge,RV,DB Station und Service AG,,neu,1.7434842781638162,Halver-Oberbr¸gge Bergstraﬂe 58553 Halver Germany,51.1918746,7.574099384742283,,Halver-Oberbr¸gge,Bergstraﬂe,58553,,Oberbr¸gge,M‰rkischer Kreis,North Rhine-Westphalia,,Halver,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,8003105,HJAH,de:03461:3106,Jaderberg,nur DPN,DB Station und Service AG,,neu,14.167920936920243,Raiffeisenmarkt Jaderberg Raiffeisenstraﬂe 13 26349 Jaderberg Germany,53.339013300000005,8.18320224293704,13,Raiffeisenmarkt Jaderberg,Raiffeisenstraﬂe,26349,Varel,,Landkreis Wesermarsch,Lower Saxony,,Jaderberg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,8003297,EKIE,de:05962:2677:90,Kierspe,RV,DB Station und Service AG,,neu,56.40394462769992,Hammerkamp 19a 58566 Kierspe Germany,51.130193,7.615473,19a,,Hammerkamp,58566,Kierspe,,M‰rkischer Kreis,North Rhine-Westphalia,,Kierspe,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
12,8003305,EREKK,de:05554:37195,Reken-Klein Reken,nur DPN,DB Station und Service AG,,neu,6.944488165421939,Deutsche Bahn Buttstegge 48734 Klein Reken Germany,51.787074,7.0352799,,Deutsche Bahn,Buttstegge,48734,,,Kreis Borken,North Rhine-Westphalia,,Klein Reken,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13,8005169,MRAI,de:09163:201,Rosenheim Aicherpark,nur DPN,DB Station und Service AG,,neu,30.37885232671974,West-Center Rosenheim Oberaustraﬂe 16 83026 Rosenheim Germany,47.85124145,12.08973910523509,16,West-Center Rosenheim,Oberaustraﬂe,83026,Rosenheim,Oberwˆhr,Rosenheim,Bavaria,,Rosenheim,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
14,8005933,RSFW,de:08215:1864,Stettfeld-Weiher,RV,DB Station und Service AG,,neu,226.09729372578158,Luﬂhardtstraﬂe 47 76698 Ubstadt-Weiher Germany,49.18311,8.639937,47,,Luﬂhardtstraﬂe,76698,Ubstadt-Weiher,,Karlsruhe,Baden-W¸rttemberg,BW,Ubstadt-Weiher,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
15,8011201,BFBI,de:12061:900260009,Flughafen BER - Terminal 1-2,FV,DB Station und Service AG,,neu,12.883590519414204,Willy-Brandt-Platz 1 12529 Schˆnefeld Germany,52.36466905,13.511652941472128,1,,Willy-Brandt-Platz,12529,Schˆnefeld,Schˆnefeld,Dahme-Spreewald - Damna-B?ota,Brandenburg,BB,Schˆnefeld,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
16,8011404,UDO,de:16065:8011404,Donndorf(Unstrut),nur DPN,Deutsche Regionaleisenbahn GmbH,,neu,4.642097977135485,Kelterei im Bahnhof Bahnhofstraﬂe 46 06571 Kloster Donndorf Germany,51.2981767,11.376964464949932,46,Kelterei im Bahnhof,Bahnhofstraﬂe,6571,Wiehe,,Kyffh‰userkreis,Thuringia,,Kloster Donndorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17,8011605,LBGR,de:15089:8011605,Bernburg-Roschwitz,nur DPN,DB Station und Service AG,,neu,0,Bahnsteig 2 Am Stadtrand 06406 Bernburg Germany,51.781825600000005,11.759074760688128,,Bahnsteig 2,Am Stadtrand,6406,Bernburg,Roschwitz,Salzlandkreis,Saxony-Anhalt,,Bernburg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,8012273,LLMS,de:14713:8012273,Leipzig Mockauer Straﬂe,RV,DB Station und Service AG,,neu,4.511459357051156,Leipzig Mockauer Straﬂe Beuthstraﬂe 04357 Leipzig Germany,51.3737902,12.41299988677083,,Leipzig Mockauer Straﬂe,Beuthstraﬂe,4357,Nordost,Mockau-S¸d,,Saxony,,Leipzig,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
19,8012797,URO,de:16065:8012797,Roﬂleben,nur DPN,Deutsche Regionaleisenbahn GmbH,,neu,12.207277387472844,Am Bahnhof 1 06571 Roﬂleben-Wiehe Germany,51.2976738,11.436405405709458,1,,Am Bahnhof,6571,Roﬂleben,Roﬂleben,Kyffh‰userkreis,Thuringia,,Roﬂleben-Wiehe,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
20,8013241,BWAF,de:12061:900260080,Waﬂmannsdorf,RV,DB Station und Service AG,,neu,2.417311726820377,Albert-Kiekebusch-Straﬂe 12529 Waﬂmannsdorf Germany,52.3684398,13.4635452,,Waﬂmannsdorf,Albert-Kiekebusch-Straﬂe,12529,Schˆnefeld,Schˆnefeld,Dahme-Spreewald - Damna-B?ota,Brandenburg,BB,Waﬂmannsdorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
21,8013301,DWID,de:14625:6905,Wiednitz,nur DPN,,,neu,7.3253552991596775,Wiednitz Bahnhofstraﬂe 02994 Bernsdorf Germany,51.3931015,14.0392297,,Wiednitz,Bahnhofstraﬂe,2994,Bernsdorf,Wiednitz,Bautzen,Saxony,,Bernsdorf,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,8071096,WSTS,de:12068:900205749,Rheinsberg Stechlinsee,nur DPN,Regio Infra Nord-Ost GmbH & Co. KG,,neu,13.645075395753432,Stechlinsee Stechliner Weg 16831 Rheinsberg Germany,53.1491243,12.9855449,,Stechlinsee,Stechliner Weg,16831,Rheinsberg,,Ostprignitz-Ruppin,Brandenburg,BB,Rheinsberg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
23,8089201,BFBB,de:12061:900260009:3,Flughafen BER - Terminal 1-2 (S-Bahn),RV,DB Station und Service AG,,neu,14.631291560138443,Willy-Brandt-Platz 1 12529 Schˆnefeld Germany,52.36466905,13.511652941472128,1,,Willy-Brandt-Platz,12529,Schˆnefeld,Schˆnefeld,Dahme-Spreewald - Damna-B?ota,Brandenburg,BB,Schˆnefeld,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
24,8000001,KA,de:05334:1008,Aachen Hbf,FV,DB Station und Service AG,1,,17.936306305544626,Aachen Central Train Station Bahnhofstraﬂe 2a 52064 Aachen Germany,50.767733,6.091267,2a,Aachen Central Train Station,Bahnhofstraﬂe,52064,Aachen,,Aachen,North Rhine-Westphalia,,Aachen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,8000002,TA,de:08136:1000,Aalen Hbf,FV,DB Station und Service AG,4,,16.40723529435486,Press & Books Bahnhof 1 73430 Aalen Germany,48.840965,10.096059,1,Press & Books,Bahnhof,73430,Aalen,,Ostalbkreis,Baden-W¸rttemberg,BW,Aalen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
