,route_id,date,mean_delay,sd_delay,n_trains,weekday,is_weekend
0,NWB RS1→Bremen Hbf,2025-10-01,4.0344827586206895,4.38362771047542,116,2,False
1,NWB RS1→Bremen Hbf,2025-10-02,2.546875,3.111319260327127,64,3,False
2,NWB RS1→Bremen Hbf,2025-10-03,1.457142857142857,1.578213009235765,35,4,False
3,NWB RS1→Bremen Hbf,2025-10-04,1.8181818181818181,2.80591341735775,44,5,True
4,NWB RS1→Bremen Hbf,2025-10-05,1.8666666666666667,2.4315928273789837,30,6,True
5,NWB RS1→Bremen Hbf,2025-10-06,4.434782608695652,5.537248894504661,69,0,False
6,NWB RS1→Bremen Hbf,2025-10-07,2.1139240506329116,2.8599235321145136,79,1,False
7,NWB RS1→Bremen Hbf,2025-10-08,3.948051948051948,4.770788591704686,77,2,False
8,NWB RS1→Bremen Hbf,2025-10-09,4.154929577464789,5.663537227170069,71,3,False
9,NWB RS1→Bremen Hbf,2025-10-10,3.1875,4.3808956658933385,80,4,False
10,NWB RS1→Bremen Hbf,2025-10-11,1.356164383561644,1.782397441444923,73,5,True
11,NWB RS1→Bremen Hbf,2025-10-12,1.7671232876712328,3.75840002876965,73,6,True
12,NWB RS1→Bremen Hbf,2025-10-13,2.2054794520547945,3.4114142721718035,73,0,False
13,NWB RS1→Bremen Hbf,2025-10-14,3.810810810810811,4.1789809839100815,111,1,False
14,NWB RS1→Bremen Hbf,2025-10-15,2.5517241379310347,3.39140814049449,116,2,False
15,NWB RS1→Bremen Hbf,2025-10-16,3.210526315789474,4.251961929687723,114,3,False
16,NWB RS1→Bremen Hbf,2025-10-17,3.4649122807017543,5.1528492411453035,114,4,False
17,NWB RS1→Bremen Hbf,2025-10-18,1.736,2.5052976128660362,125,5,True
18,NWB RS1→Bremen Hbf,2025-10-19,1.7471264367816093,2.7879240872710285,87,6,True
19,NWB RS1→Bremen Hbf,2025-10-20,2.5384615384615383,3.215100313602236,117,0,False
20,NWB RS1→Bremen Hbf,2025-10-21,2.325,2.9510359952698226,120,1,False
21,NWB RS1→Bremen Hbf,2025-10-22,3.325,4.083503397819083,120,2,False
22,NWB RS1→Bremen Hbf,2025-10-23,3.360655737704918,4.5218762539139234,122,3,False
23,NWB RS1→Bremen Hbf,2025-10-24,3.966386554621849,4.902321783222555,119,4,False
24,NWB RS1→Bremen Hbf,2025-10-25,1.8672566371681416,2.733732485013984,113,5,True
25,NWB RS1→Bremen Hbf,2025-10-26,2.102272727272727,2.729320460781118,88,6,True
26,NWB RS1→Bremen Hbf,2025-10-27,2.8157894736842106,2.5919063591795655,114,0,False
27,NWB RS1→Bremen Hbf,2025-10-28,4.991150442477876,7.438432504832637,113,1,False
28,NWB RS1→Bremen Hbf,2025-10-29,3.6293103448275863,5.2129106822493565,116,2,False
29,NWB RS1→Bremen Hbf,2025-10-30,2.3801652892561984,3.155038822653659,121,3,False
30,NWB RS1→Bremen Hbf,2025-10-31,2.1931818181818183,2.803355766357362,88,4,False
31,NWB RS1→Bremen Hbf,2025-11-01,3.3043478260869565,4.609627440597954,115,5,True
32,NWB RS1→Bremen Hbf,2025-11-02,2.244186046511628,4.5913884777063645,86,6,True
33,NWB RS1→Bremen Hbf,2025-11-03,3.5132743362831858,4.424192913175939,113,0,False
34,NWB RS1→Bremen Hbf,2025-11-04,2.957983193277311,3.6901034802062647,119,1,False
35,NWB RS1→Bremen Hbf,2025-11-05,5.5181818181818185,8.5945703130361,110,2,False
36,NWB RS1→Bremen Hbf,2025-11-06,7.775700934579439,11.05330857256243,107,3,False
37,NWB RS1→Bremen Hbf,2025-11-07,6.26595744680851,9.121846082628178,94,4,False
38,NWB RS1→Bremen Hbf,2025-11-08,1.4824561403508771,1.9608218258099275,114,5,True
39,NWB RS1→Bremen Hbf,2025-11-09,1.927710843373494,3.195969765914109,83,6,True
40,NWB RS1→Bremen Hbf,2025-11-10,6.97979797979798,10.393266852974513,99,0,False
41,NWB RS1→Bremen Hbf,2025-11-11,7.556701030927835,11.010382479131671,97,1,False
42,NWB RS1→Bremen Hbf,2025-11-12,5.055555555555555,6.925279890201724,108,2,False
43,NWB RS1→Bremen Hbf,2025-11-13,5.695652173913044,7.748428151910824,115,3,False
44,NWB RS1→Bremen Hbf,2025-11-14,4.477064220183486,4.142365423449885,109,4,False
45,NWB RS1→Bremen Hbf,2025-11-15,1.9435483870967742,3.4483468865054996,124,5,True
46,NWB RS1→Bremen Hbf,2025-11-16,1.1149425287356323,1.4012061860156109,87,6,True
47,NWB RS1→Bremen Hbf,2025-11-17,3.3271028037383177,5.5248592587462655,107,0,False
48,NWB RS1→Bremen Hbf,2025-11-18,2.0344827586206895,3.483953362845542,116,1,False
49,NWB RS1→Bremen Hbf,2025-11-19,2.5277777777777777,3.265390112324985,108,2,False
50,NWB RS1→Bremen Hbf,2025-11-20,2.175438596491228,2.347077316541694,114,3,False
51,NWB RS1→Bremen Hbf,2025-11-21,3.436974789915966,4.805785100434939,119,4,False
52,NWB RS1→Bremen Hbf,2025-11-22,1.5350877192982457,2.9454624606810866,114,5,True
53,NWB RS1→Bremen Hbf,2025-11-23,1.4333333333333333,3.5907917387025483,60,6,True
54,NWB RS1→Bremen Hbf,2025-11-24,2.955357142857143,5.300668652121932,112,0,False
55,NWB RS1→Bremen Hbf,2025-11-25,2.3781512605042017,3.1136430149238357,119,1,False
56,NWB RS1→Bremen Hbf,2025-11-26,1.1623931623931625,1.3323382670642911,117,2,False
57,NWB RS1→Bremen Hbf,2025-11-27,2.403361344537815,2.614559390987623,119,3,False
58,NWB RS1→Bremen Hbf,2025-11-28,4.150442477876106,4.951949902632247,113,4,False
59,NWB RS1→Bremen Hbf,2025-11-29,2.062992125984252,2.677798288620838,127,5,True
60,NWB RS1→Bremen Hbf,2025-11-30,1.7701149425287357,2.600094584260293,87,6,True
61,NWB RS1→Bremen Hbf,2025-12-01,2.739130434782609,3.5935784748308133,115,0,False
62,NWB RS1→Bremen Hbf,2025-12-02,2.7017543859649122,3.876249041200187,114,1,False
63,NWB RS1→Bremen Hbf,2025-12-03,4.853211009174312,5.007079595476113,109,2,False
64,NWB RS1→Bremen Hbf,2025-12-04,2.4871794871794872,3.302599249638613,117,3,False
65,NWB RS1→Bremen Hbf,2025-12-05,3.1043478260869564,4.371707107738405,115,4,False
66,NWB RS1→Bremen Hbf,2025-12-06,3.4608695652173913,5.336545562015667,115,5,True
67,NWB RS1→Bremen Hbf,2025-12-07,2.7011494252873565,7.444546845391356,87,6,True
68,NWB RS1→Bremen Hbf,2025-12-08,3.2564102564102564,4.021823754591609,117,0,False
69,NWB RS1→Bremen Hbf,2025-12-09,2.5283018867924527,2.59011875870333,106,1,False
70,NWB RS1→Bremen Hbf,2025-12-10,3.7117117117117115,5.506008928083419,111,2,False
71,NWB RS1→Bremen Hbf,2025-12-11,2.80672268907563,3.221425389651452,119,3,False
72,NWB RS1→Bremen Hbf,2025-12-12,2.4956521739130433,2.7027403671072157,115,4,False
73,NWB RS1→Bremen Hbf,2025-12-13,1.0852713178294573,1.3348162780413009,129,5,True
74,NWB RS1→Bremen Hbf,2025-12-14,1.4,1.9591057240729093,85,6,True
75,NWB RS1→Bremen Hbf,2025-12-15,3.663793103448276,5.673652248339024,116,0,False
76,NWB RS1→Bremen Hbf,2025-12-16,5.681034482758621,7.530343416074595,116,1,False
77,NWB RS1→Bremen Hbf,2025-12-17,2.418181818181818,2.52467390275709,110,2,False
78,NWB RS1→Bremen Hbf,2025-12-18,7.944444444444445,10.228084237290432,108,3,False
79,NWB RS1→Bremen Hbf,2025-12-19,3.769230769230769,3.918093782177967,117,4,False
80,NWB RS1→Bremen Hbf,2025-12-20,3.131782945736434,3.742450410829698,129,5,True
81,NWB RS1→Bremen Hbf,2025-12-21,2.7857142857142856,4.133528579772186,84,6,True
82,NWB RS1→Bremen Hbf,2025-12-22,2.26271186440678,3.3318662569009465,118,0,False
83,NWB RS1→Bremen Hbf,2025-12-23,2.111111111111111,3.631228959290404,117,1,False
84,NWB RS1→Bremen Hbf,2025-12-24,1.3333333333333333,2.147613768338987,99,2,False
85,NWB RS1→Bremen Hbf,2025-12-25,1.2093023255813953,1.8221918222118398,86,3,False
86,NWB RS1→Bremen Hbf,2025-12-26,1.6588235294117648,2.966290537324476,85,4,False
87,NWB RS1→Bremen Hbf,2025-12-27,1.7642276422764227,4.422523018526142,123,5,True
88,NWB RS1→Bremen Hbf,2025-12-28,5.647887323943662,9.824311813847022,71,6,True
89,NWB RS1→Bremen Hbf,2025-12-29,4.94017094017094,13.801106026573898,117,0,False
90,NWB RS1→Bremen Hbf,2025-12-30,2.7815126050420167,4.178556363848251,119,1,False
91,NWB RS1→Bremen Hbf,2025-12-31,0.9595959595959596,1.3696356726888634,99,2,False
92,RB 63→Tübingen Hbf,2025-10-01,0.4090909090909091,1.213800268815734,110,2,False
93,RB 63→Tübingen Hbf,2025-10-02,0.9514563106796117,3.3413002071129325,103,3,False
94,RB 63→Tübingen Hbf,2025-10-03,0.7407407407407407,2.8494638871978086,81,4,False
95,RB 63→Tübingen Hbf,2025-10-04,0.4716981132075472,1.501329841083278,53,5,True
96,RB 63→Tübingen Hbf,2025-10-05,0.5375,1.5503674533820455,80,6,True
97,RB 63→Tübingen Hbf,2025-10-06,1.0465116279069768,1.5627758834370025,172,0,False
98,RB 63→Tübingen Hbf,2025-10-07,1.0374331550802138,2.1932667832107637,187,1,False
99,RB 63→Tübingen Hbf,2025-10-08,0.9234972677595629,1.427610317418268,183,2,False
100,RB 63→Tübingen Hbf,2025-10-09,1.7411764705882353,2.9917161415536135,170,3,False
101,RB 63→Tübingen Hbf,2025-10-10,1.1978609625668448,1.7835556253553468,187,4,False
102,RB 63→Tübingen Hbf,2025-10-11,0.5403225806451613,1.664547564439873,124,5,True
103,RB 63→Tübingen Hbf,2025-10-12,0.9705882352941176,1.4988832962248277,102,6,True
104,RB 63→Tübingen Hbf,2025-10-13,0.9111111111111111,1.6179471401993348,180,0,False
105,RB 63→Tübingen Hbf,2025-10-14,1.0939226519337018,1.551707509160164,181,1,False
106,RB 63→Tübingen Hbf,2025-10-15,2.585635359116022,8.286509334767395,181,2,False
107,RB 63→Tübingen Hbf,2025-10-16,1.6627218934911243,8.853898505046947,169,3,False
108,RB 63→Tübingen Hbf,2025-10-17,1.2245989304812834,2.0901289317125022,187,4,False
109,RB 63→Tübingen Hbf,2025-10-18,1.1020408163265305,3.6765355451513013,147,5,True
110,RB 63→Tübingen Hbf,2025-10-19,1.8285714285714285,6.152637243893472,105,6,True
111,RB 63→Tübingen Hbf,2025-10-20,1.0748663101604279,1.567396086757787,187,0,False
112,RB 63→Tübingen Hbf,2025-10-21,1.3513513513513513,1.5779771072107849,185,1,False
113,RB 63→Tübingen Hbf,2025-10-22,1.6626506024096386,2.9098666362597814,166,2,False
114,RB 63→Tübingen Hbf,2025-10-23,2.2044198895027622,3.025297473057996,181,3,False
115,RB 63→Tübingen Hbf,2025-10-24,1.6524064171122994,2.5677972832177645,187,4,False
116,RB 63→Tübingen Hbf,2025-10-25,1.4,3.0157210818328104,130,5,True
117,RB 63→Tübingen Hbf,2025-10-26,1.2156862745098038,4.087235505671241,102,6,True
118,RB 63→Tübingen Hbf,2025-10-27,1.5974025974025974,1.863019828828343,154,0,False
119,RB 63→Tübingen Hbf,2025-10-28,1.7195767195767195,2.180837197892235,189,1,False
120,RB 63→Tübingen Hbf,2025-10-29,1.4736842105263157,2.067438851713094,171,2,False
121,RB 63→Tübingen Hbf,2025-10-30,1.3160919540229885,1.9791031753748511,174,3,False
122,RB 63→Tübingen Hbf,2025-10-31,0.9243243243243243,1.490806136867007,185,4,False
123,RB 63→Tübingen Hbf,2025-11-01,0.6831683168316832,1.8811203739756106,101,5,True
124,RB 63→Tübingen Hbf,2025-11-02,0.8666666666666667,1.279022062318487,105,6,True
