type,id,nr,name,city
"station","8000410","5","Abensberg","Abensberg"
"station","8000412","6","Achern","Achern"
"station","8000413","7","Achim","Achim"
"station","8000424","15","Adelsheim Ost","Adelsheim"
"station","8000419","12","Adelschlag","Adelschlag"
"station","8010001","17","Adorf (Vogtl)","Adorf"
"station","8000433","19","Agatharied","Hausham"
"station","8000431","18","Affaltrach","Obersulm"
"station","8000434","20","Agathenburg","Agathenburg"
"station","8000436","21","Aha","Schluchsee"
"station","8000437","22","Ahaus","Ahaus"
"station","8000002","4","Aalen Hbf","Aalen"
"station","8000442","24","Ahlhorn","Ahlhorn"
"station","8000443","25","Ahlten (Han)","Lehrte"
"station","8000441","23","Ahlen (Westf)","Ahlen "
"station","8011004","29","Ahrensfelde Friedhof","Ahrensfelde"
"station","8000414","8","Achmer","Bramsche-Achmer"
"station","8011005","30","Ahrensfelde Nord","Ahrensfelde "
"station","8000449","32","Ahrweiler Markt","Bad Neuenahr-Ahrweiler"
"station","8000446","27","Ahrensburg","Ahrensburg"
"station","8011003","28","Ahrensfelde","Berlin"
"station","8000448","31","Ahrweiler","Bad Neuenahr-Ahrweiler"
"station","8000459","36","Ainring","Ainring"
"station","8000452","34","Aichach","Aichach"
"station","8000404","3","Aachen West","Aachen"
"station","8000454","35","Aichstetten","Aichstetten"
"station","8000462","39","Münster-Albachten","Münster-Albachten"
"station","8000464","41","Albersdorf","Albersdorf"
"station","8000466","42","Albersweiler (Pfalz)","Albersweiler"
"station","8000468","44","Albig","Albig"
"station","8000463","40","Albbruck","Albbruck"
"station","8000471","46","Albshausen","Solms"
"station","8000475","50","Albstadt-Lautlingen","Albstadt"
"station","8000474","49","Albstadt-Laufen Ort","Albstadt"
"station","8000477","51","Aldekerk","Kerken"
"station","8000482","52","Aletshausen","Aletshausen"
"station","8000420","13","Adelsdorf (Mittelfr)","Neuhof a.d.Zenn"
"station","8000489","57","Aligse","Lehrte"
"station","8000488","56","Algermissen","Algermissen"
"station","8000473","47","Albstadt-Ebingen","Albstadt"
"station","8080040","45","Albrechtshof","Berlin"
"station","8000492","59","Allendorf (Dillkr)","Haiger"
"station","8000499","61","Allmendingen","Allmendingen"
"station","8000500","62","Alpen","Alpen"
"station","8000496","60","Allensbach","Allensbach"
"station","8000483","54","Alfeld (Leine)","Alfeld "
"station","8000406","2","Aachen-Rothe Erde","Aachen"
"station","8000505","64","Alsenz","Alsenz"
"station","8011011","67","Alt Hüttendorf","Althüttendorf"
"station","8000506","66","Alsheim","Alsheim"
"station","8011014","71","Alt Rosenthal","Vierlinden"
"station","8000418","11","Adelebsen","Adelebsen"
"station","8011016","74","Altdöbern","Luckaitztal"
"station","8000501","63","Alpirsbach","Alpirsbach"
"station","8000350","65","Alsfeld (Oberhess)","Alsfeld"
"station","8000508","73","Altbach","Altbach"
"station","8000511","77","Alte Veste","Fürth"
"station","8000504","76","Altdorf West","Altdorf (b. Nürnberg)"
"station","8011017","79","Altefähr","Altefähr"
"station","8000509","75","Altdorf (b Nürnberg)","Altdorf (b. Nürnberg)"
"station","8000514","81","Altenahr","Altenahr"
"station","8000515","82","Altenau (Bay)","Saulgrub"
"station","8011018","83","Altenbach","Bennewitz"
"station","8011019","86","Kurort Altenberg (Erzgeb)","Altenberg"
"station","8000517","84","Altenbamberg","Altenbamberg"
